Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
317,Connor McMichael,2021,2021,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10,9:54
318,Jim McTaggart,1981,1982,2,71,3,10,13,-7,205,2,0,1,1,10,0,0,64,4.7,,
319,Gerry Meehan,1976,1979,4,208,65,79,144,-62,33,44,20,1,9,51,28,0,476,13.7,,
320,Dean Melanson,2002,2002,1,4,0,0,0,1,4,0,0,0,0,0,0,0,6,0,50,12:36
321,Glen Metropolit,2000,2003,4,101,10,37,47,10,26,9,1,0,2,21,16,0,150,6.7,1284,12:43
322,Bill Mikkelson,1975,1977,2,60,3,7,10,-82,54,0,3,0,0,6,1,0,47,6.4,,
323,Mike Millar,1989,1989,1,18,6,3,9,-4,4,3,3,0,1,1,2,0,37,16.2,,
324,Kelly Miller,1987,1999,13,940,162,246,408,75,436,130,17,15,29,204,20,22,1330,12.2,693,11:11
325,Kevin Miller,1993,1993,1,10,0,3,3,-4,35,0,0,0,0,3,0,0,10,0,,
326,Kip Miller,2003,2004,2,138,21,60,81,-11,26,12,9,0,6,37,22,1,163,12.9,2005,14:32
327,Graham Mink,2004,2009,3,7,0,0,0,-1,2,0,0,0,0,0,0,0,5,0,44,6:15
328,Dmitri Mironov,1999,2001,3,155,8,38,46,-5,114,4,4,0,1,20,16,2,218,3.7,2995,19:19
329,Garrett Mitchell,2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:48
330,Doug Mohns,1975,1975,1,75,2,19,21,-54,54,1,1,0,0,11,7,1,82,2.4,,
331,Hartland Monahan,1976,1977,2,159,40,56,96,-77,72,30,9,1,6,47,8,1,279,14.3,,
332,Barrie Moore,2000,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,9:50
333,Brendan Morrison,2010,2010,1,74,12,30,42,23,40,9,3,0,3,25,5,0,105,11.4,1164,15:44
334,Lew Morrison,1975,1975,1,18,0,4,4,-14,6,0,0,0,0,4,0,0,21,0,,
335,Shaone Morrisonn,2004,2010,6,377,9,53,62,26,405,9,0,0,3,48,0,5,232,3.9,7379,19:34
336,Joe Motzko,2008,2008,1,8,2,2,4,1,0,2,0,0,0,2,0,0,10,20,100,12:27
337,Bryan Muir,2006,2007,2,98,11,22,33,-6,114,7,4,0,1,7,15,0,164,6.7,1904,19:26
338,Ryan Mulhern,1998,1998,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
339,Paul Mulvey,1979,1981,3,187,29,37,66,-34,487,25,4,0,4,35,2,0,296,9.8,,
340,Joe Murphy,2000,2001,2,43,6,13,19,3,73,4,2,0,2,10,3,0,72,8.3,594,13:49
341,Larry Murphy*,1984,1989,6,453,86,259,345,56,332,54,31,1,9,134,120,5,1025,8.4,,
342,Rob Murray,1990,1991,2,58,2,10,12,-10,77,2,0,0,0,10,0,0,37,5.4,,
343,Terry Murray,1982,1982,1,74,3,22,25,-15,60,3,0,0,0,20,1,1,75,4,,
344,Brantt Myhres,2001,2001,1,5,0,0,0,0,29,0,0,0,0,0,0,0,0,,18,3:36
345,Jeff Nelson,1995,1996,2,43,1,7,8,1,18,1,0,0,0,7,0,0,25,4,,
346,Todd Nelson,1994,1994,1,2,1,0,1,1,2,0,1,0,1,0,0,0,1,100,,
347,Aaron Ness,2016,2018,3,18,0,3,3,5,10,0,0,0,0,3,0,0,10,0,227,12:35
348,Paul Nicholson,1975,1977,3,62,4,8,12,-39,18,4,0,0,1,8,0,0,72,5.6,,
349,Andrei Nikolishin,1997,2002,6,407,58,113,171,20,174,48,7,3,6,89,20,4,620,9.4,5128,16:32
350,Matt Niskanen,2015,2019,5,390,29,127,156,58,194,23,6,0,7,92,31,4,684,4.2,8877,22:46
351,Claude Noel,1980,1980,1,7,0,0,0,-3,0,0,0,0,0,0,0,0,5,0,,
352,Brad Norton,2004,2004,1,16,0,1,1,-4,17,0,0,0,0,1,0,0,6,0,205,12:50
353,Lee Norwood,1982,1983,2,34,7,11,18,4,139,4,3,0,1,2,9,0,39,17.9,,
